song,artist,this_week,last_week,peak_position,weeks_on_chart,mbid,danceability,genre,gender,mood,instrumental,bpm,key,loudness,mood_happy
Ella Quiere Beber,Anuel AA & Romeo Santos,92,80.0,79,8,3d5c1a12-cd23-472d-96cb-7ca132f470c9,danceable,rhy,female,not_aggressive,instrumental,94.9251174927,G#,0.967547297478,not_happy
Gun Smoke,21 Savage,93,,93,1,80db7e9d-ac83-4c8b-a45d-a8039988244c,danceable,hip,female,not_aggressive,voice,85.9376373291,A#,0.889067828655,not_happy
Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,94,,94,1,409aa93f-01ab-46f0-b83c-b919ccb4afed,not_danceable,roc,female,aggressive,voice,129.932723999,A#,0.972659707069,happy
ASMR,21 Savage,95,,95,1,255b4034-66b2-45ed-9494-6020634e5048,danceable,rhy,male,not_aggressive,voice,112.828994751,A#,0.721184790134,not_happy
Last Shot,Kip Moore,96,78.0,78,6,a25bedd9-1be6-4cb1-b4ff-ea0f2006df06,danceable,roc,male,not_aggressive,voice,147.974014282,E,0.938902497292,happy
This Is It,Scotty McCreery,100,84.0,84,3,aec07661-9222-464f-9563-99611a159ae8,not_danceable,roc,female,not_aggressive,instrumental,155.680618286,G#,0.880137860775,happy
Without Me,Halsey,1,2.0,1,13,888bb953-61ed-45e8-9c4f-33c3346dc16f,danceable,rhy,female,not_aggressive,voice,135.955062866,F#,0.790792047977,not_happy
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,3,5.0,3,11,b6df9d04-2303-4ec7-a416-367b06a026cb,danceable,pop,female,not_aggressive,voice,89.8964920044,D,0.897321462631,happy
High Hopes,Panic! At The Disco,5,6.0,5,22,c1296fc9-08d8-4c4b-af8b-d92da5397850,danceable,pop,male,aggressive,voice,163.938995361,A#,0.913865327835,happy
Happier,Marshmello & Bastille,6,7.0,3,20,ff183df7-8234-4cae-93bd-ee4a0d0bd709,not_danceable,cla,female,not_aggressive,instrumental,99.5504302979,G,0.633028209209,not_happy
Drip Too Hard,Lil Baby & Gunna,8,12.0,4,16,6255bc30-64f8-4a5c-883e-00ddaa421e2f,danceable,hip,female,not_aggressive,voice,112.442695618,A,0.855042338371,not_happy
Better Now,Post Malone,10,23.0,3,36,f4ff2903-27db-47ff-937d-d05bfdbf471f,danceable,pop,female,not_aggressive,voice,144.64906311,A#,0.824171304703,not_happy
Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,12,18.0,11,16,7a4eb25f-ffe0-4065-b9d6-ff343e822901,danceable,hip,male,not_aggressive,voice,143.072921753,A#,0.95696413517,happy
Breathin,Ariana Grande,16,22.0,12,20,8daa330b-8d89-42e5-afb1-750144102825,danceable,pop,female,not_aggressive,instrumental,99.5541687012,F,0.933262705803,not_happy
Leave Me Alone,Flipp Dinero,22,33.0,22,16,ad4f29b8-c40e-470c-98ff-91ee966fa058,danceable,hip,female,not_aggressive,voice,150.235183716,A#,0.783627867699,not_happy
Speechless,Dan + Shay,24,41.0,24,17,7230a157-87d2-4242-868a-9b1d3253e392,danceable,pop,male,not_aggressive,voice,135.915725708,F#,0.673207223415,not_happy
Love Lies,Khalid & Normani,27,48.0,9,46,a5c11c65-acb7-4ee8-87de-e92f9cffbdf8,not_danceable,cla,male,not_aggressive,instrumental,135.859542847,G,0.670250713825,not_happy
Beautiful,Bazzi Featuring Camila Cabello,28,50.0,28,22,83b1d16a-25c3-4429-b06d-03c08db66679,not_danceable,cla,male,not_aggressive,instrumental,84.0190811157,G,0.626622319221,not_happy
Baby Shark,Pinkfong,32,,32,1,4d19d9d5-9174-4037-9dec-21b6c2cbcbb9,danceable,hip,male,not_aggressive,voice,114.734375,A#,0.937664628029,not_happy
You Say,Lauren Daigle,34,59.0,34,25,e8128e69-1c24-4e0f-8e31-6a4087299ba4,not_danceable,pop,female,not_aggressive,voice,147.918914795,A#,0.700807750225,not_happy
Uproar,Lil Wayne,35,56.0,7,14,630854cf-741a-4b68-bc9d-c648862b4180,danceable,hip,male,not_aggressive,voice,98.9849395752,A#,0.930883765221,not_happy
A Lot,21 Savage,36,37.0,36,2,39fb60ce-0c92-4e72-930b-cc6c2d4efcee,danceable,dan,female,not_aggressive,voice,146.027099609,F,0.94995445013,not_happy
Drunk Me,Mitchell Tenpenny,39,64.0,39,21,b6dbd9a2-8d8d-4ff8-80ac-5ac387889ba1,danceable,pop,female,not_aggressive,voice,87.9701690674,D,0.875709474087,happy
Be Alright,Dean Lewis,40,63.0,40,10,6cb28fbd-05fc-479b-b192-a498f79b3e2e,danceable,pop,female,not_aggressive,voice,126.561714172,B,0.744760930538,not_happy
Sweet But Psycho,Ava Max,41,83.0,41,3,f9b48b9e-fee4-4bff-8b50-646aca297b80,danceable,pop,female,not_aggressive,voice,132.953552246,C#,0.880677103996,happy
Sixteen,Thomas Rhett,42,79.0,42,8,5ea5b5de-1312-43f1-983e-9d753434b2f3,danceable,pop,female,not_aggressive,voice,106.918266296,C#,0.883783698082,not_happy
Burning Man,Dierks Bentley Featuring Brothers Osborne,45,80.0,45,11,6259736f-ddd6-4791-9c1e-2346d41f636f,not_danceable,rhy,male,not_aggressive,voice,117.904968262,D#,0.773548305035,not_happy
Good Girl,Dustin Lynch,47,89.0,47,8,98a1da94-13d9-4bcc-a0bd-820f9598b584,danceable,pop,male,not_aggressive,voice,161.596359253,G,0.903196156025,happy
Girl Like You,Jason Aldean,52,87.0,52,6,33d698bb-382f-48ef-8938-6e8f3af45fd8,danceable,pop,male,aggressive,voice,143.967468262,D#,0.899889886379,not_happy
Last Shot,Kip Moore,53,96.0,53,7,a25bedd9-1be6-4cb1-b4ff-ea0f2006df06,danceable,roc,male,not_aggressive,voice,147.974014282,E,0.938902497292,happy
Look Back At It,A Boogie Wit da Hoodie,54,66.0,54,4,c8374c1a-8c6f-4f45-9b4e-59187679b983,danceable,rhy,female,not_aggressive,voice,95.6127243042,D#,0.865969896317,not_happy
This Is It,Scotty McCreery,57,100.0,57,4,aec07661-9222-464f-9563-99611a159ae8,not_danceable,roc,female,not_aggressive,instrumental,155.680618286,G#,0.880137860775,happy
Calling My Spirit,Kodak Black,58,74.0,46,5,d8ff611d-b2d5-4808-be8a-ec9f40171cab,danceable,rhy,male,not_aggressive,voice,119.961242676,A#,0.340007573366,not_happy
Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,61,65.0,61,2,20714476-804f-4217-9b57-63f08008d652,danceable,hip,female,not_aggressive,instrumental,95.9862747192,A#,0.914168536663,not_happy
Electricity,Silk City x Dua Lipa,62,,62,7,89a26a81-05b9-4083-9639-b180fc341d82,not_danceable,dan,female,not_aggressive,instrumental,144.634460449,C,0.927419126034,happy
Ella Quiere Beber,Anuel AA & Romeo Santos,64,92.0,64,9,3d5c1a12-cd23-472d-96cb-7ca132f470c9,danceable,rhy,female,not_aggressive,instrumental,94.9251174927,G#,0.967547297478,not_happy
Can't Leave Without It,21 Savage,65,58.0,58,2,a82d6fa1-0f3e-4a44-a18a-c43d5e6afe71,danceable,rhy,male,not_aggressive,voice,131.968734741,A,0.771034955978,not_happy
Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,67,,56,18,cb11d149-df69-405f-b837-3053def3de75,danceable,hip,female,not_aggressive,voice,98.9804000854,F,0.921498537064,happy
When The Party's Over,Billie Eilish,68,82.0,52,11,ba7a88da-f864-4ead-9a63-36f92d10de46,not_danceable,rhy,female,not_aggressive,voice,123.452804565,A,0.0136189134791,not_happy
Millionaire,Chris Stapleton,69,,69,4,f61c9210-1cbb-4a7a-8e4a-f0531fa0f662,danceable,rhy,male,not_aggressive,voice,142.815734863,A#,0.937531888485,happy
BAD!,XXXTENTACION,70,68.0,16,8,0e20165f-e02e-4472-9f4a-80ecacc5bda7,danceable,rhy,female,not_aggressive,voice,144.020614624,F,0.843534529209,not_happy
Pure Cocaine,Lil Baby,72,,46,4,8cc74581-e677-4851-ad27-83d05515fd36,danceable,hip,female,not_aggressive,voice,126.982345581,A#,0.967274606228,not_happy
Lovely,Billie Eilish & Khalid,73,91.0,73,10,1fc545d3-94b6-4a3d-bff3-bb8b861943d6,not_danceable,jaz,female,not_aggressive,voice,114.798667908,E,0.512330889702,happy
Take It From Me,Jordan Davis,75,,75,1,37b94577-62f8-4bab-8c60-6715fb9f9130,danceable,pop,male,not_aggressive,voice,99.9436645508,A#,0.955841362476,not_happy
What Makes You Country,Luke Bryan,76,,76,1,3dafcbe1-f845-4042-b49c-534dcf0a8c7a,danceable,pop,male,not_aggressive,voice,161.643936157,C,0.926102876663,happy
Yosemite,Travis Scott,77,,25,11,1892f310-8713-47e5-b9a8-06f8d4021ca9,danceable,rhy,female,not_aggressive,voice,128.084762573,F,0.905719935894,not_happy
Monster,21 Savage,78,73.0,73,2,b27f812f-2aba-4c08-b1b1-f079666e5609,danceable,rhy,female,not_aggressive,instrumental,133.933944702,F,0.490655571222,not_happy
Blue Tacoma,Russell Dickerson,79,,52,16,f7ba6b6f-a162-403d-8ceb-764b26d312d1,danceable,roc,male,not_aggressive,voice,161.513839722,A,0.827869057655,happy
Down To The Honkytonk,Jake Owen,80,,80,1,59b69ea3-1632-4f7e-bec6-154e8fb556b7,danceable,roc,male,not_aggressive,voice,163.89074707,D#,0.927729904652,happy
Close Friends,Lil Baby,81,,28,12,d3290ee1-9e64-4f0d-a9f7-97ef42b9708a,danceable,rhy,female,not_aggressive,voice,161.576705933,A#,0.807025194168,not_happy
Love Wins,Carrie Underwood,83,,83,1,b290c1f2-6ba3-4f2a-b286-0654d2accfc5,danceable,pop,female,not_aggressive,voice,134.98576355,G,0.905649185181,happy
Nuketown,Ski Mask The Slump God Featuring Juice WRLD,85,,63,4,60b82579-60d6-4348-b720-7dc30bfcf80b,not_danceable,rhy,female,not_aggressive,instrumental,119.879127502,G#,0.768889963627,not_happy
Ruin My Life,Zara Larsson,86,,86,1,0a3524bf-6f93-4b0c-aba1-41af7d5257bd,danceable,pop,female,not_aggressive,voice,124.768035889,B,0.686400771141,not_happy
Dip,Tyga & Nicki Minaj,88,,63,7,e8e35697-58fa-464e-818e-8510ab1d531f,danceable,hip,female,not_aggressive,voice,98.9635391235,A,0.967491805553,happy
Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,90,94.0,90,2,409aa93f-01ab-46f0-b83c-b919ccb4afed,not_danceable,roc,female,aggressive,voice,129.932723999,A#,0.972659707069,happy
Solo de Mi,Bad Bunny,93,,93,1,3db3658e-1d89-4e3c-90cf-19d47849d7a8,danceable,rhy,male,not_aggressive,voice,89.9811401367,A#,0.890141665936,not_happy
whoa (mind in awe),XXXTENTACION,96,,37,3,1a38a7f7-2345-4e8b-bb84-e2e2b41f711b,not_danceable,rhy,male,not_aggressive,voice,161.646072388,F#,0.63154643774,happy
All My Friends,21 Savage,97,67.0,67,2,c0535b05-7475-4219-8c6a-6b3bfa1a2dfc,danceable,pop,male,not_aggressive,voice,129.906921387,E,0.849722862244,not_happy
Make It Sweet,Old Dominion,98,,98,1,d7b4ebdb-7d8a-481a-99fd-36019d7c7ef1,not_danceable,roc,male,not_aggressive,voice,89.9803771973,G,0.869421780109,happy
idontwannabeyouanymore,Billie Eilish,100,,100,1,4be7874b-c45c-4dd6-9455-fba5d6910188,not_danceable,jaz,female,not_aggressive,voice,154.946044922,E,0.660282790661,not_happy
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,1,3.0,1,12,b6df9d04-2303-4ec7-a416-367b06a026cb,danceable,pop,female,not_aggressive,voice,89.8964920044,D,0.897321462631,happy
Without Me,Halsey,2,1.0,1,14,888bb953-61ed-45e8-9c4f-33c3346dc16f,danceable,rhy,female,not_aggressive,voice,135.955062866,F#,0.790792047977,not_happy
High Hopes,Panic! At The Disco,5,5.0,5,23,c1296fc9-08d8-4c4b-af8b-d92da5397850,danceable,pop,male,aggressive,voice,163.938995361,A#,0.913865327835,happy
Happier,Marshmello & Bastille,6,6.0,3,21,ff183df7-8234-4cae-93bd-ee4a0d0bd709,not_danceable,cla,female,not_aggressive,instrumental,99.5504302979,G,0.633028209209,not_happy
Drip Too Hard,Lil Baby & Gunna,8,8.0,4,17,6255bc30-64f8-4a5c-883e-00ddaa421e2f,danceable,hip,female,not_aggressive,voice,112.442695618,A,0.855042338371,not_happy
Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,12,12.0,11,17,7a4eb25f-ffe0-4065-b9d6-ff343e822901,danceable,hip,male,not_aggressive,voice,143.072921753,A#,0.95696413517,happy
Better Now,Post Malone,13,10.0,3,37,f4ff2903-27db-47ff-937d-d05bfdbf471f,danceable,pop,female,not_aggressive,voice,144.64906311,A#,0.824171304703,not_happy
Breathin,Ariana Grande,15,16.0,12,21,8daa330b-8d89-42e5-afb1-750144102825,danceable,pop,female,not_aggressive,instrumental,99.5541687012,F,0.933262705803,not_happy
Leave Me Alone,Flipp Dinero,21,22.0,21,17,ad4f29b8-c40e-470c-98ff-91ee966fa058,danceable,hip,female,not_aggressive,voice,150.235183716,A#,0.783627867699,not_happy
Speechless,Dan + Shay,25,24.0,24,18,7230a157-87d2-4242-868a-9b1d3253e392,danceable,pop,male,not_aggressive,voice,135.915725708,F#,0.673207223415,not_happy
Beautiful,Bazzi Featuring Camila Cabello,27,28.0,27,23,83b1d16a-25c3-4429-b06d-03c08db66679,not_danceable,cla,male,not_aggressive,instrumental,84.0190811157,G,0.626622319221,not_happy
Love Lies,Khalid & Normani,28,27.0,9,47,a5c11c65-acb7-4ee8-87de-e92f9cffbdf8,not_danceable,cla,male,not_aggressive,instrumental,135.859542847,G,0.670250713825,not_happy
A Lot,21 Savage,33,36.0,33,3,39fb60ce-0c92-4e72-930b-cc6c2d4efcee,danceable,dan,female,not_aggressive,voice,146.027099609,F,0.94995445013,not_happy
You Say,Lauren Daigle,34,34.0,34,26,e8128e69-1c24-4e0f-8e31-6a4087299ba4,not_danceable,pop,female,not_aggressive,voice,147.918914795,A#,0.700807750225,not_happy
Undecided,Chris Brown,35,,35,1,91b675f6-d2f4-4061-918d-e5c8063eac84,danceable,pop,female,not_aggressive,instrumental,128.075271606,A#,0.906947493553,not_happy
Uproar,Lil Wayne,36,35.0,7,15,630854cf-741a-4b68-bc9d-c648862b4180,danceable,hip,male,not_aggressive,voice,98.9849395752,A#,0.930883765221,not_happy
Sweet But Psycho,Ava Max,37,41.0,37,4,f9b48b9e-fee4-4bff-8b50-646aca297b80,danceable,pop,female,not_aggressive,voice,132.953552246,C#,0.880677103996,happy
Baby Shark,Pinkfong,38,32.0,32,2,4d19d9d5-9174-4037-9dec-21b6c2cbcbb9,danceable,hip,male,not_aggressive,voice,114.734375,A#,0.937664628029,not_happy
Be Alright,Dean Lewis,42,40.0,40,11,6cb28fbd-05fc-479b-b192-a498f79b3e2e,danceable,pop,female,not_aggressive,voice,126.561714172,B,0.744760930538,not_happy
Good Girl,Dustin Lynch,44,47.0,44,9,98a1da94-13d9-4bcc-a0bd-820f9598b584,danceable,pop,male,not_aggressive,voice,161.596359253,G,0.903196156025,happy
Sixteen,Thomas Rhett,45,42.0,42,9,5ea5b5de-1312-43f1-983e-9d753434b2f3,danceable,pop,female,not_aggressive,voice,106.918266296,C#,0.883783698082,not_happy
Crushed Up,Future,46,,46,1,8cabbea1-8c7a-4156-9785-937109f420b9,danceable,rhy,female,not_aggressive,voice,156.097702026,A#,0.816191315651,not_happy
Burning Man,Dierks Bentley Featuring Brothers Osborne,47,45.0,45,12,6259736f-ddd6-4791-9c1e-2346d41f636f,not_danceable,rhy,male,not_aggressive,voice,117.904968262,D#,0.773548305035,not_happy
Look Back At It,A Boogie Wit da Hoodie,49,54.0,49,5,c8374c1a-8c6f-4f45-9b4e-59187679b983,danceable,rhy,female,not_aggressive,voice,95.6127243042,D#,0.865969896317,not_happy
Girl Like You,Jason Aldean,50,52.0,50,7,33d698bb-382f-48ef-8938-6e8f3af45fd8,danceable,pop,male,aggressive,voice,143.967468262,D#,0.899889886379,not_happy
This Is It,Scotty McCreery,53,57.0,53,5,aec07661-9222-464f-9563-99611a159ae8,not_danceable,roc,female,not_aggressive,instrumental,155.680618286,G#,0.880137860775,happy
Calling My Spirit,Kodak Black,56,58.0,46,6,d8ff611d-b2d5-4808-be8a-ec9f40171cab,danceable,rhy,male,not_aggressive,voice,119.961242676,A#,0.340007573366,not_happy
Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,59,61.0,59,3,20714476-804f-4217-9b57-63f08008d652,danceable,hip,female,not_aggressive,instrumental,95.9862747192,A#,0.914168536663,not_happy
Last Shot,Kip Moore,60,53.0,53,8,a25bedd9-1be6-4cb1-b4ff-ea0f2006df06,danceable,roc,male,not_aggressive,voice,147.974014282,E,0.938902497292,happy
Electricity,Silk City x Dua Lipa,62,62.0,62,8,89a26a81-05b9-4083-9639-b180fc341d82,not_danceable,dan,female,not_aggressive,instrumental,144.634460449,C,0.927419126034,happy
Ella Quiere Beber,Anuel AA & Romeo Santos,64,64.0,64,10,3d5c1a12-cd23-472d-96cb-7ca132f470c9,danceable,rhy,female,not_aggressive,instrumental,94.9251174927,G#,0.967547297478,not_happy
Lovely,Billie Eilish & Khalid,65,73.0,65,11,1fc545d3-94b6-4a3d-bff3-bb8b861943d6,not_danceable,jaz,female,not_aggressive,voice,114.798667908,E,0.512330889702,happy
Pure Cocaine,Lil Baby,66,72.0,46,5,8cc74581-e677-4851-ad27-83d05515fd36,danceable,hip,female,not_aggressive,voice,126.982345581,A#,0.967274606228,not_happy
Millionaire,Chris Stapleton,67,69.0,67,5,f61c9210-1cbb-4a7a-8e4a-f0531fa0f662,danceable,rhy,male,not_aggressive,voice,142.815734863,A#,0.937531888485,happy
When The Party's Over,Billie Eilish,68,68.0,52,12,ba7a88da-f864-4ead-9a63-36f92d10de46,not_danceable,rhy,female,not_aggressive,voice,123.452804565,A,0.0136189134791,not_happy
Take It From Me,Jordan Davis,69,75.0,69,2,37b94577-62f8-4bab-8c60-6715fb9f9130,danceable,pop,male,not_aggressive,voice,99.9436645508,A#,0.955841362476,not_happy
Can't Leave Without It,21 Savage,70,65.0,58,3,a82d6fa1-0f3e-4a44-a18a-c43d5e6afe71,danceable,rhy,male,not_aggressive,voice,131.968734741,A,0.771034955978,not_happy
Yosemite,Travis Scott,71,77.0,25,12,1892f310-8713-47e5-b9a8-06f8d4021ca9,danceable,rhy,female,not_aggressive,voice,128.084762573,F,0.905719935894,not_happy
What Makes You Country,Luke Bryan,74,76.0,74,2,3dafcbe1-f845-4042-b49c-534dcf0a8c7a,danceable,pop,male,not_aggressive,voice,161.643936157,C,0.926102876663,happy
Down To The Honkytonk,Jake Owen,75,80.0,75,2,59b69ea3-1632-4f7e-bec6-154e8fb556b7,danceable,roc,male,not_aggressive,voice,163.89074707,D#,0.927729904652,happy
Ruin My Life,Zara Larsson,76,86.0,76,2,0a3524bf-6f93-4b0c-aba1-41af7d5257bd,danceable,pop,female,not_aggressive,voice,124.768035889,B,0.686400771141,not_happy
